,CWE190_Integer_Overflow__int_Environment_preinc_81a.java_v1.0,v1.0_bad,v1.0_good,v1.0_goodG2B,v1.0_goodB2G,v1.0_main,0_v1.0_bad,1_v1.0_bad,2_v1.0_bad,3_v1.0_bad,4_v1.0_bad,9_v1.0_bad,5_v1.0_bad,6_v1.0_bad,8_v1.0_bad,10_v1.0_bad,7_v1.0_bad,action_v1.0_bad,0_v1.0_good,1_v1.0_good,goodG2B_v1.0_good,goodB2G_v1.0_good,0_v1.0_goodG2B,1_v1.0_goodG2B,2_v1.0_goodG2B,3_v1.0_goodG2B,action_v1.0_goodG2B,0_v1.0_goodB2G,1_v1.0_goodB2G,2_v1.0_goodB2G,3_v1.0_goodB2G,4_v1.0_goodB2G,5_v1.0_goodB2G,9_v1.0_goodB2G,7_v1.0_goodB2G,6_v1.0_goodB2G,8_v1.0_goodB2G,10_v1.0_goodB2G,action_v1.0_goodB2G,CWE190_Integer_Overflow__int_Environment_preinc_81a.java_v1.1,v1.1_bad,v1.1_good_modify,v1.1_goodG2B,v1.1_goodB2G,v1.1_main,0_v1.1_bad,1_v1.1_bad,2_v1.1_bad,3_v1.1_bad,4_v1.1_bad,9_v1.1_bad,5_v1.1_bad,6_v1.1_bad,8_v1.1_bad,10_v1.1_bad,7_v1.1_bad,action_v1.1_bad,0_v1.1_good_modify,1_v1.1_good_modify,2_v1.1_good_modify,goodG2B_v1.1_good_modify,goodB2G_v1.1_good_modify,0_v1.1_goodG2B,1_v1.1_goodG2B,2_v1.1_goodG2B,3_v1.1_goodG2B,4_v1.1_goodG2B,action_v1.1_goodG2B,0_v1.1_goodB2G,1_v1.1_goodB2G,2_v1.1_goodB2G,3_v1.1_goodB2G,4_v1.1_goodB2G,5_v1.1_goodB2G,9_v1.1_goodB2G,6_v1.1_goodB2G,7_v1.1_goodB2G,8_v1.1_goodB2G,10_v1.1_goodB2G,action_v1.1_goodB2G,Root
CWE190_Integer_Overflow__int_Environment_preinc_81a.java_v1.0,1.0,0.00019838656361564685,5.273881788823206e-05,5.476820989233397e-05,0.00019838656361564693,8.24577400507945e-05,0.2326044143596421,0.0005807976914561936,0.06708935394373228,0.001462277861439423,0.013259688957105052,0.002926092599718183,0.003043496224593623,0.004888681324564237,0.003795909381896855,0.004067245874860673,0.003969441906157057,0.0021094130516960143,0.20574362200285062,1.7903591688632244e-05,2.301989572566958e-05,0.11361761060945434,0.23432776553290915,1.7945554547968813e-05,0.07556424616341915,6.742293790825365e-06,0.04380327596556765,0.2326044143596422,0.0005807976914561935,0.06708935394373228,0.001462277861439423,0.013259688957105054,0.003043496224593623,0.0029260925997181826,0.003969441906157057,0.004888681324564237,0.003795909381896856,0.004067245874860674,0.0021094130516960143,0.12224735668980886,3.205782860866416e-05,1.3363566865945049e-05,1.3525625729926439e-05,3.205782860866416e-05,2.0601729688982643e-05,0.04623842709900843,7.769689712850909e-05,0.013736261227908414,0.0001999285045234479,0.0024882914448359616,0.00043338518240784295,0.00045055147861435143,0.0007892061976110942,0.0005815032389480469,0.0006231504278272631,0.000619325777615536,0.0002890749202468313,0.044684861325595786,3.4515963903283565e-06,0.014949768087795004,0.018983256779794355,1.818091448303442e-06,0.0465056487225215,4.17363600000314e-06,0.014764318282106462,1.2641731408856558e-06,0.0059191146991335935,6.305960526352701e-07,0.04623842709900843,7.769689712850909e-05,0.013736261227908414,0.0001999285045234479,0.0024882914448359616,0.00045055147861435143,0.00043338518240784295,0.0007892061976110942,0.000619325777615536,0.0005815032389480469,0.0006231504278272631,0.0002890749202468313,5.1529734869888575e-05
v1.0_bad,0.00019838656361564685,1.0,0.3060167389340153,0.3145474340859292,0.31398770520492475,0.49303060005591615,0.0012673728189775738,0.3308956496997869,0.0035367672474629084,0.10364463832091426,0.008604424366714573,0.018494076907999844,0.019619969906852937,0.010347699193429621,0.011810986301678796,0.008758553147671625,0.01181056054130747,0.013991356433330118,5.7242697083117946e-05,0.09271569573281026,0.1190028778121145,3.28852454508431e-05,6.656765324338293e-05,0.09024547835516532,2.2741874171483415e-05,0.034987830489410905,1.269333457684304e-05,0.0002507698952516856,0.0871442988421191,0.0005533611983961637,0.023463113316127,0.0013335628900938345,0.003504432651500116,0.00323779812255292,0.0018526933544535712,0.0016102638272799002,0.0018726145290332405,0.001348647111203183,0.002211102355923474,3.205736920825211e-05,0.046356290662531136,0.04591256205401067,0.046432858196734865,0.046356290662531136,0.0673938271542726,3.366661926340187e-05,0.01656425667229208,7.421152937848038e-05,0.004613766863057016,0.00019536092295972105,0.0005524987190104972,0.0006082653346442459,0.00024003494996245172,0.00028830255933723125,0.00019404736474667918,0.00028193498584845323,0.00034216740345305893,9.726840278208347e-06,0.014570912104580598,3.107083734352743e-06,4.0258144471846685e-06,0.008508700374845314,1.0209609633588531e-05,0.016934635523983426,3.171128888711897e-06,0.005891480467083364,1.1670658680661974e-06,0.0033855791253970037,3.3666619263401855e-05,0.01656425667229208,7.421152937848037e-05,0.004613766863057016,0.0001953609229597211,0.0006082653346442459,0.0005524987190104972,0.00024003494996245177,0.00028193498584845323,0.00028830255933723125,0.00019404736474667918,0.000342167403453059,0.2802122136050944
v1.0_good,5.273881788823206e-05,0.3060167389340154,1.0,0.3065829936566498,0.3060167389340154,0.4822795723616653,0.00019673432917147513,0.08414316464767599,0.0005244540676265069,0.023009600522682038,0.0013037258189346963,0.003189324033047531,0.003453644235699103,0.001578306965619578,0.00183889985355888,0.0013191014801766368,0.0018184025376075715,0.0021730378543438566,1.500413606978604e-05,0.36948957043909925,0.4822795723616653,8.379673617521508e-06,1.7628428530365792e-05,0.087252389184234,5.7673072984989725e-06,0.03447471472197366,3.037754337062068e-06,0.00019673432917147513,0.08414316464767599,0.0005244540676265069,0.023009600522682038,0.0013037258189346963,0.003453644235699103,0.0031893240330475303,0.001818402537607572,0.001578306965619578,0.00183889985355888,0.0013191014801766368,0.0021730378543438566,1.3017288944992798e-05,0.04484464338974352,0.044417523094581475,0.04492029828918044,0.04484464338974352,0.0650370012536915,2.686914958775618e-05,0.016138380887971898,7.055153008266969e-05,0.004508110559030388,0.000191070452641477,0.0005424317669896802,0.0005971995816808615,0.00023525337039587442,0.00028290691313981656,0.0001898772142198301,0.00027658548800731764,0.0003360033584899526,3.888511769766274e-06,0.014216779972583951,1.1504571937407033e-06,1.5296306641002158e-06,0.008329162684485759,4.0969688121342054e-06,0.016504299424061706,1.2041076910857446e-06,0.005768348154425169,3.9514794686342023e-07,0.0033316927853963042,2.6869149587756166e-05,0.016138380887971898,7.055153008266968e-05,0.004508110559030388,0.000191070452641477,0.0005971995816808615,0.0005424317669896802,0.00023525337039587442,0.00027658548800731764,0.00028290691313981656,0.0001898772142198301,0.0003360033584899526,0.2736582868076784
v1.0_goodG2B,5.476820989233396e-05,0.3145474340859292,0.3065829936566498,1.0,0.3145474340859292,0.49371559891091527,0.0002036864046193864,0.0874609287070478,0.0005408645415563162,0.023585821126408335,0.0013378195411610368,0.003256737316097625,0.0035251286729175084,0.001618122994670564,0.0018826296803866008,0.0013547853736263064,0.0018624097029605808,0.0022236118436701345,1.561325777777324e-05,0.09311863438807946,0.11945038840238423,8.727747839343922e-06,1.833903800375989e-05,0.3389887726965654,6.006703355289787e-06,0.14782359684274757,3.1656896905001464e-06,0.0002036864046193864,0.0874609287070478,0.0005408645415563162,0.023585821126408335,0.0013378195411610368,0.0035251286729175084,0.003256737316097625,0.0018624097029605808,0.001618122994670564,0.0018826296803866013,0.0013547853736263064,0.0022236118436701345,1.3536599422355334e-05,0.04649834395126061,0.04605345822420119,0.04657546415052043,0.04649834395126061,0.0675858029313766,2.7824316847116493e-05,0.016629137943155622,7.2700857172198e-05,0.004636607398941419,0.00019602563103667905,0.0005555657334066222,0.0006116582995042289,0.00024119420312611933,0.0002898081513223581,0.00019492278342515335,0.00028338459144947953,0.0003440425887619528,4.050707205522996e-06,0.014633373566481598,1.199857028096781e-06,1.5951000414450453e-06,0.008553440527040004,4.268038066272825e-06,0.017002133943273493,1.2556669762490882e-06,0.0059228381594193125,4.1217684740709703e-07,0.003406533801955887,2.7824316847116483e-05,0.016629137943155622,7.270085717219799e-05,0.004636607398941419,0.00019602563103667905,0.0006116582995042288,0.0005555657334066222,0.00024119420312611933,0.00028338459144947953,0.0002898081513223581,0.00019492278342515335,0.0003440425887619528,0.28065070092114597
v1.0_goodB2G,0.00019838656361564685,0.31398770520492475,0.3060167389340153,0.3145474340859292,1.0,0.49303060005591615,0.0002507698952516856,0.0871442988421191,0.0005533611983961637,0.023463113316127,0.0013335628900938339,0.00323779812255292,0.003504432651500117,0.0016102638272799002,0.0018726145290332405,0.001348647111203183,0.0018526933544535712,0.002211102355923474,5.7242697083117946e-05,0.09271569573281026,0.1190028778121145,3.28852454508431e-05,6.656765324338293e-05,0.09024547835516532,2.2741874171483415e-05,0.034987830489410905,1.2693334576843041e-05,0.0012673728189775738,0.3308956496997869,0.0035367672474629084,0.10364463832091426,0.008604424366714571,0.019619969906852937,0.018494076907999844,0.01181056054130747,0.010347699193429621,0.011810986301678796,0.008758553147671625,0.013991356433330122,3.205736920825211e-05,0.046356290662531136,0.04591256205401067,0.046432858196734865,0.046356290662531136,0.0673938271542726,3.366661926340187e-05,0.01656425667229208,7.421152937848038e-05,0.004613766863057016,0.00019536092295972105,0.0005524987190104972,0.0006082653346442459,0.00024003494996245172,0.00028830255933723125,0.00019404736474667918,0.00028193498584845323,0.00034216740345305893,9.726840278208347e-06,0.014570912104580598,3.107083734352743e-06,4.0258144471846685e-06,0.008508700374845314,1.020960963358853e-05,0.016934635523983426,3.1711288887118962e-06,0.005891480467083364,1.1670658680661974e-06,0.0033855791253970037,3.3666619263401855e-05,0.01656425667229208,7.421152937848037e-05,0.004613766863057016,0.0001953609229597211,0.0006082653346442459,0.0005524987190104972,0.00024003494996245177,0.00028193498584845323,0.00028830255933723125,0.00019404736474667918,0.000342167403453059,0.2802122136050944
v1.0_main,8.24577400507945e-05,0.49303060005591615,0.4822795723616653,0.4937155989109154,0.49303060005591615,1.0,0.0003060147711949066,0.11985364289415373,0.0008077470699421108,0.03211729410556432,0.0019676611168736266,0.004631819408388371,0.00499176222043933,0.002372386481135521,0.002742304452548603,0.0019989923001704755,0.002719839572857571,0.003236977919566595,2.3603314702403823e-05,0.12770447224099887,0.16455914472333058,1.3261699500264292e-05,2.7674359954861795e-05,0.1239184027063741,9.134570775407535e-06,0.04769893985506192,4.862776136832542e-06,0.0003060147711949066,0.11985364289415373,0.0008077470699421108,0.03211729410556432,0.0019676611168736266,0.00499176222043933,0.0046318194083883706,0.002719839572857571,0.002372386481135521,0.002742304452548603,0.0019989923001704755,0.003236977919566595,2.0601471294425495e-05,0.06736582621409114,0.06674029826541127,0.06747017567359873,0.06736582621409114,0.09776885058396509,4.211075149451872e-05,0.023965286772971793,0.0001079310029811893,0.0064739793850186605,0.00028368418159448855,0.0007816550767305883,0.0008583713832302662,0.00034754552836141917,0.0004146910683900948,0.00028331760894218666,0.000406388070120068,0.00049139584727193,6.218433393393323e-06,0.02092674864079209,1.8710944606599608e-06,2.476582731359676e-06,0.011920616635741937,6.54955748425738e-06,0.024474769244835028,1.9499140658373986e-06,0.008240430689234966,6.523066043652395e-07,0.004702823652032246,4.21107514945187e-05,0.023965286772971793,0.00010793100298118928,0.0064739793850186605,0.0002836841815944886,0.0008583713832302662,0.0007816550767305883,0.00034754552836141917,0.000406388070120068,0.0004146910683900948,0.00028331760894218666,0.00049139584727193,0.4488844252919826
0_v1.0_bad,0.23260441435964216,0.0012673728189775738,0.00019673432917147507,0.00020368640461938638,0.0002507698952516855,0.00030601477119490656,1.0,0.004342684432353678,0.35486295046847205,0.011381655916303954,0.0831200643451742,0.022434993020649198,0.02345141783040243,0.03599393564977937,0.02887952019015132,0.030970489868064967,0.02984310510541471,0.016442123951109482,0.09185821214901692,6.904059638994439e-05,8.745388714804366e-05,0.05256660948790862,0.10591411087941756,6.820020641549469e-05,0.035614188796124414,2.750685839119729e-05,0.020190593643270895,0.10481582969974944,0.00025252045072655954,0.03133023528700419,0.0005130374738256634,0.005739122953752995,0.0010944653720233624,0.0010531781688435779,0.0014824062135487038,0.0018732637499013134,0.0013978589552619482,0.0014968052333569888,0.0007189348395509297,0.046307631575356646,3.36661379950937e-05,2.7480941680351424e-05,2.77878231127416e-05,3.36661379950937e-05,4.2109556251835466e-05,0.01712356964044141,3.30952541369853e-05,0.005836075643273151,7.3171283498974e-05,0.0010786313750982407,0.00016700986693202682,0.00017388946640112374,0.00032302179048595517,0.00023019516441252706,0.0002470242004798153,0.0002480708906266108,0.00010374001662747169,0.016476666539248792,7.535231110917871e-06,0.006410272987616395,0.008036179594742673,4.279861246330834e-06,0.017250353945107832,8.88882817322638e-06,0.006303986132478751,2.9885097995622883e-06,0.0026164500928462647,1.6654532263195495e-06,0.01712356964044141,3.30952541369853e-05,0.005836075643273151,7.317128349897402e-05,0.0010786313750982407,0.00017388946640112374,0.00016700986693202682,0.0003230217904859551,0.0002480708906266108,0.00023019516441252706,0.0002470242004798153,0.00010374001662747169,0.00017406216372337102
1_v1.0_bad,0.0005807976914561936,0.33089564969978696,0.08414316464767599,0.0874609287070478,0.0871442988421191,0.11985364289415373,0.004342684432353678,1.0,0.01266411029289443,0.33982813248769167,0.03223583199344268,0.06907898586937515,0.07291765540029714,0.03907831329961545,0.04501272574309379,0.03242648488583465,0.04515908787433339,0.05343158348320801,0.00017044132657011168,0.03874621860350652,0.048432686401198244,0.00010137820972890432,0.00019562768719866145,0.03739656344071719,7.040325604892872e-05,0.015544203266975816,4.169862806796019e-05,0.00025252045072655954,0.03586095377826782,0.00023740843614574966,0.010242711674097472,0.0004792217096983489,0.0013976451560256023,0.0012746916547471522,0.000671500839604393,0.000576376874764947,0.0006844825009758905,0.0004711060829349364,0.0008088409723763468,7.76922832312813e-05,0.01658115367389306,0.016409417399778504,0.016615290473463547,0.01658115367389306,0.023997311464342665,3.3096450477708666e-05,0.0061619471541196355,3.2365995918806604e-05,0.0018742029450641994,7.374649874679756e-05,0.00022244254578302692,0.0002465382893728826,9.061596773152653e-05,0.00011100562239047706,7.120428409792291e-05,0.00010787533141779823,0.00013232015336896185,2.4713521190238427e-05,0.005551663213174502,8.92646795478627e-06,1.1171749753693648e-05,0.0034850416730824577,2.5811064338837237e-05,0.006323585071173751,8.81008122643832e-06,0.0024237302739384798,3.708324305203344e-06,0.0014335598881138867,3.3096450477708666e-05,0.0061619471541196355,3.2365995918806604e-05,0.0018742029450641994,7.374649874679753e-05,0.0002465382893728826,0.00022244254578302692,9.061596773152653e-05,0.00010787533141779823,0.00011100562239047706,7.120428409792291e-05,0.00013232015336896185,0.07192547717924819
2_v1.0_bad,0.06708935394373228,0.0035367672474629084,0.0005244540676265069,0.0005408645415563161,0.0005533611983961636,0.0008077470699421106,0.3548629504684721,0.01266411029289443,1.0,0.03507833920533773,0.26124270500716945,0.07286994643781816,0.07681144781574727,0.12390258424059356,0.09682361624038467,0.10269052010440399,0.10008971791816107,0.050571737570549,0.029317249123778654,0.00019419200103242725,0.0002411610653109031,0.020187864267952917,0.03183642694890308,0.00018808415362101734,0.01379441956963291,8.231925528269174e-05,0.008320055429818991,0.03133023528700418,0.0002374084361457497,0.011937540774492465,0.00021674728130386723,0.002287953835677355,0.00039676575187777845,0.000381040330198583,0.0005509450910008985,0.0007095993163817362,0.0005139329271166909,0.00054976377615637,0.0002441143157133856,0.01374570653828519,7.420925347372334e-05,7.178067534952779e-05,7.255865065628972e-05,7.420925347372334e-05,0.00010792129637708208,0.005840316055110113,3.236921130046922e-05,0.002096754528306277,3.179552568582048e-05,0.00041029004232806966,6.21390833935634e-05,6.487960893255286e-05,0.00012329575579067122,8.652315145192053e-05,9.288331753742391e-05,9.378399604986326e-05,3.665529204172014e-05,0.005641225196220357,2.202399018832785e-05,0.0023670867167594465,0.002899726356933369,1.3600923861137959e-05,0.005891914432146246,2.5234991637705326e-05,0.002285148801093781,9.518254776500521e-06,0.0010177175518102338,5.762531213087756e-06,0.005840316055110113,3.236921130046922e-05,0.002096754528306277,3.1795525685820486e-05,0.00041029004232806966,6.487960893255286e-05,6.213908339356341e-05,0.00012329575579067122,9.378399604986326e-05,8.652315145192053e-05,9.288331753742391e-05,3.665529204172014e-05,0.0004578341831595964
3_v1.0_bad,0.0014622778614394227,0.10364463832091426,0.02300960052268204,0.023585821126408342,0.023463113316127007,0.03211729410556433,0.011381655916303954,0.33982813248769167,0.03507833920533774,1.0,0.09559591084767673,0.23084897430827017,0.24682698712425585,0.11727867510270629,0.13586415402045524,0.09410693087778506,0.13920252054189783,0.16026019000144248,0.00044996627090086895,0.011764847505700502,0.013901906939799752,0.0002824079174933502,0.0005057724138907855,0.010816314022335837,0.0001966150114578052,0.005299243500824092,0.00012429263207040903,0.0005130374738256635,0.010242711674097474,0.00021674728130386713,0.0033894762044354163,0.00017812423822984288,0.0004741359845674337,0.0004300320250178292,0.00022111813181532747,0.0001906127661142581,0.0002260158102724675,0.00015187355888494268,0.00026341154373369117,0.00019989642221937684,0.004616836174876951,0.004569064795956107,0.004628625474509647,0.004616836174876951,0.006478070275928608,7.31790160646764e-05,0.0018752682287822096,3.1803167101106654e-05,0.0005947561284028244,2.7766762778323308e-05,7.355892919154146e-05,8.161029820378029e-05,3.033336822584181e-05,3.6884526600513325e-05,2.3363552842517912e-05,3.584405715265187e-05,4.3434392038309034e-05,6.898841593324462e-05,0.0017187128537049581,2.8137850944940324e-05,3.4266128107255876e-05,0.0011219240307333114,7.178539676100645e-05,0.0019309187958157941,2.705319159346953e-05,0.0007818608561359237,1.2482854091130196e-05,0.000481064793730945,7.31790160646764e-05,0.0018752682287822096,3.1803167101106654e-05,0.0005947561284028244,2.7766762778323308e-05,8.161029820378029e-05,7.355892919154146e-05,3.0333368225841805e-05,3.584405715265187e-05,3.6884526600513325e-05,2.3363552842517912e-05,4.3434392038309034e-05,0.01929768219074647
